,0,1,2,3,4
18,【姜飞调查】琼洋牌洗洁精被曝“菌落总数”和“大肠杆菌”严重超标,2015年10月15日,http://www.hinews.cn/news/system/2015/10/15/017867557.shtml,南海网,"洋”牌洗洁精(20kg/桶,生产日期为2015年9月),并将其中1桶送到了海南省产品质量监督检验所,委托该机构对产品中的“菌落总数”和“大肠杆菌”两项指标进行检测...  查看更多相关新闻>>  -  百度快照"
19,男子怪病喝洗洁精:心里难受喝完好受些【图】,2016年08月19日,http://news.youth.cn/sh/201608/t20160819_8567443_1.htm,中国青年网,"【男子怪病喝洗洁精】2016年8月17日。近日,在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。  查看更多相关新闻>>  -  百度快照"
20,男子怪病喝洗洁精:心里难受喝完好受些【图】,2017年09月09日,http://news.youth.cn/sh/201608/t20160819_8567443_1.htm,中国质量新闻网,"厅《关于开展餐具洗涤剂产品专项整治工作方案的通知》的要求,通辽市质监局成立专案组,会同相关部门对全市餐具洗涤剂产品生产、加工、销售、使用情况进行了专项检查。...  百度快照"
21,河南省质监局抽查15批次餐具洗涤剂产品 全部符合标准要求,2017年09月04日,http://www.cqn.com.cn/news/xfpd/ccgg/dfcc/2015/1085558.html,中国青年报,"优客测测15款洗洁精测评,总有几款健康优品放心用:洗洁精一直让“厨房大管家”左右为难,用少了怕洗不干净,用多了又担心残留在碗碟上。优恪旗下优客测测选择了...  百度快照"
22,假立白洗洁精 砷超标58倍,2017年09月05日,http://finance.ifeng.com/a/20150720/13849520_0.shtml,新浪上海站,"昨天(4日)上午10点多,浦东江心沙路410号上海意达洗涤剂公司发生火灾,所幸未造成...上海医生吃泻药给自己做肠镜 呼吁:不要忽视肠镜检查 上港队长喜得千金成新晋奶...  百度快照"
23,洗洁精错误使用也会带来伤害,2017年08月09日,http://news.ifeng.com/gundong/detail_2014_03/11/34627139_0.shtml,湖南省人民政府,"前,张家界市质监局永定分局开展了餐具洗涤剂专项整治行动。  此次整治行动,重点针对违法生产、使用无生产许可证洗洁精的行为。共检查无证生产小作坊2家,经营性使用...  百度快照"
24,"“三无”洗洁精洗过碗筷你敢用吗? 南昌检查小餐饮店-南昌,洗洁精,...",2016年12月28日,http://jiangxi.jxnews.com.cn/system/2016/04/11/014822017.shtml,奥一网,南都讯 记者岑龙基  环保检查一瓶洗洁精(不合格)罚3万元、电饭锅罚一万多元、没后门也要罚一万元?佛山顺德容桂部分商家听信了这种传言后不敢开门营业。容桂街道...  百度快照
25,洗洁精信息无记录 现场完善详细登记,2016年12月28日,http://news.163.com/16/0819/02/BUQ40AIU00014Q4P.html,南方网,"下午2时,容桂街道办发布通报称,近日微博、微信上流传“环保检查一瓶洗洁精罚3万元、电饭锅罚万几元、没后门罚一万元、政府对所有餐饮娱乐服务行业开展大规模...  查看更多相关新闻>>  -  百度快照"
26,怀疑天然气泄漏咋检查,2016年08月25日,http://epaper.xiancn.com/xarb/html/2014-07/29/content_313375.htm,网易,"台海网8月25日讯(海峡导报记者 香卉辉 通讯员 杜宁)最近,厦门市市场监督管理局对厦门自贸片区内线下销售的部分商品进行抽查,发现共两批次的进口纸巾和洗洁精菌落...  查看更多相关新闻>>  -  百度快照"
27,用气相色谱法检测洗洁精中甲醛的含量,2015年04月08日,http://www.caigou.com.cn/news/2013091761.shtml,网易,"重庆晨报永川读本讯 记者 张梁 邓鑫 怀疑家里燃气泄漏,却不知该怎么检测。其实,只需要一杯清水,还有一点洗洁精,就能解决这个问题。近日,文曲路社区联合重庆永川...  查看更多相关新闻>>  -  百度快照"
28,重庆男子喝洗洁精当饭 每日半瓶喝了4年[衰],2016年08月19日,http://news.sina.com.cn/o/2016-08-18/doc-ifxvcnrv0252200.shtml,鲁中网,"摘要: 在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。 近日,记者了解到,在重庆市九龙坡区劳动一村家属区内有一位...  百度快照"
29,长沙端掉 一洗洁精制假窝点,2016年08月19日,http://news.163.com/16/0615/08/BPJAANP900014Q4P.html,中国小康网,"7日,网上出现了一组男子喝洗洁精的图片,引起强烈反响。该男子叫张玥,家住重庆市九龙坡区劳动一村家属区,每天都要喝洗洁精半瓶,并且一喝就是4年,但去医院...  百度快照"
30,女子餐馆喝“洗洁精汤”呕吐 洗洁精对人体有害吗,2014年06月21日,http://news.99.com.cn/minsheng/20150215/541653.htm,新浪新闻,"华商报讯(记者马虎振)根据西安市质监局加强对商业场所洗洁精进行质量监督检查的要求,质监新城分局会同市质检院,对新城区内规模较大的17家酒店所用的洗洁精进行了...  查看更多相关新闻>>  -  百度快照"
31,31岁男子患怪病喝洗洁精 长达四年每日半瓶(图),2016年12月29日,http://news.youth.cn/sh/201608/t20160818_8565374_3.htm,新华网,"食肆洗洁精不合格罚3万元?谣言!---昨日,容桂街道办及区环运局在第一时间发文辟谣,纷纷指出这些网络谣言不属实。甚至,还有流言称顺德大良、容桂过千人执法整治...  查看更多相关新闻>>  -  百度快照"
32,惠水查获一假冒洗涤剂案 销售用假货检查上正品,2016年09月19日,http://news.ifeng.com/gundong/detail_2013_07/17/27606103_0.shtml,中国质量新闻网,"为保障消费者合法权益,进一步提升产品质量安全,质量月期间,北京市大兴区质监局开展了餐具洗涤剂专项监督检查。 执法人员认真核对企业相关资质,要求企业严格按照获证...  百度快照"
33,浙江省质监局公布2014年餐具洗涤剂抽查结果:两批次产品不合格,2016年11月04日,http://www.cqn.com.cn/news/xfpd/ccgg/dfcc/2014/899809.html,和讯科技,"检测结果显示,用清水浸泡30分钟的洗菜方式去除农药残留效果最好;其次是用果蔬洗洁精浸泡清洗。用清水、盐水、碱水、淘米水浸泡15分钟,去除农残效果并不明显。 专家告...  查看更多相关新闻>>  -  百度快照"
34,四川省质监局抽查:2批次洗洁精不合格,2015年12月01日,http://www.cqn.com.cn/news/xfpd/ccgg/dfcc/2015/1115891.html,乐视视频,苏州:检查发现“罕见”洗洁精 竟是无证无照“问题产品”播放数:评论数: 类型:社会新闻 发布时间:2015-12-01 10:43:17 详细介绍: 苏州:检查发现“罕见”洗洁...  百度快照
35,洗洁精大都号称无残留 但冲洗1分半钟后仍有,2016年01月13日,http://life.jschina.com.cn/system/2016/08/18/029432029.shtml,新蓝网,"市面上的多数洗洁精都号称“无残留”、“不伤手”,最近某消费杂志向第三方权威检测机构送检了9款不同品牌的洗洁精,结果显示蓝月亮、立白等一些消费者耳熟能详的...  百度快照"
36,男子患怪病喝洗洁精 每日半瓶已长达四年,2014年07月09日,http://www.cnr.cn/newscenter/tj/20160819/t20160819_523028632.shtml,国家质检总局,"从2015年1月1日起,各省(区、市)质量技术监督部门按照《办法》规定,对餐具洗涤剂获证企业包装情况开展检查,对仍不符合《办法》要求的生产企业进行查处,促进行业健康...  查看更多相关新闻>>  -  百度快照"
37,丈夫醉酒晚归 妻子一气之下喝洗洁精出走,2016年01月11日,http://news.cqnews.net/html/2016-09/28/content_38764962.htm,中金在线,洗餐具 洗果蔬 哪款洗洁精更安全高效 9款餐具 果蔬洗洁精测评报告洗洁精虽然是厨房中最常用的日用品 但你 自己知道怎么挑选洗洁精吗 2015年10月 《消费者报道》...  查看更多相关新闻>>  -  百度快照
38,绍兴市质监局公布2015年四季度餐具洗涤剂产品市级监督抽查结果,2015年10月15日,http://www.cqn.com.cn/news/xfpd/ccgg/dfcc/2015/1110182.html,南海网,"洋”牌洗洁精(20kg/桶,生产日期为2015年9月),并将其中1桶送到了海南省产品质量监督检验所,委托该机构对产品中的“菌落总数”和“大肠杆菌”两项指标进行检测...  查看更多相关新闻>>  -  百度快照"
39,重庆男子患怪病喝洗洁精 每日半瓶已四年,2016年08月19日,http://sc.sina.com.cn/news/z/2016-08-19/detail-ifxvcsrm1918932.shtml,中国青年网,"【男子怪病喝洗洁精】2016年8月17日。近日,在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。  查看更多相关新闻>>  -  百度快照"
40,“假立白洗洁精砷超标”追踪:商家承认售假,2016年08月19日,http://media.china.com.cn/cmjujiao/2015-07-21/469587.html,中国青年网,"【男子怪病喝洗洁精】2016年8月17日。近日,在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。  查看更多相关新闻>>  -  百度快照"
41,"走访十家餐馆,两家用“三无”洗洁精",2015年10月16日,http://www.lyrb.com.cn/html/news/xgwz/2013/0416/162201.html,中国质量新闻网,"据通报,本次检查共抽取了开封、商丘、周口、安阳、新乡、郑州6个省辖市10家企业生产的15批次餐具洗涤剂产品。  本次检查依据GB9985-2000《餐具洗涤剂》、《2015年...  百度快照"
42,丈夫醉酒晚归 妻子一气之下吞洗洁精,2015年07月20日,http://www.cnr.cn/newscenter/native/gd/20160927/t20160927_523164384.shtml,凤凰网,"经专业机构检测,记者购买的多种“高仿”洗发水均有重金属检出,一款“高仿”洗洁精砷含量超标58倍。专业人士警告,超标58倍的洗洁精长期使用,会增加致癌率。 朝阳区...  查看更多相关新闻>>  -  百度快照"
43,地面有洗洁精 顾客不慎滑倒摔伤受伤,2014年03月11日,http://yj.southcn.com/content/2016-04/22/content_146471384.htm,凤凰网,"消费者在选购洗洁精产品时,应检查有无国家有关质量认证标志,是否有商标、厂名、执行标准和保质期等,合格产品应该无异味、黏度适中、无分层、无悬浮物。在使用洗洁...  查看更多相关新闻>>  -  百度快照"
44,“高仿”日用品充斥市场 假立白洗洁精砷超标58倍,2016年04月11日,http://hlj.people.com.cn/n/2015/0720/c338553-25651264-2.html,大江网,“三无”洗洁精洗过碗筷你敢用吗? 南昌检查小餐饮店  百度快照
45,晋江3岁男孩闻到洗洁精“香香的”当果汁喝,2016年08月19日,http://www.mnw.cn/jinjiang/news/800580.html,网易,"检查中,食品科工作人员发现该公司蜂蜜出厂检验记录不完善、洗瓶子用的洗洁精信息没有详细记录。工作人员现场要求该公司的相关负责人完善蜂蜜出厂检验记录、并详细登记洗...  查看更多相关新闻>>  -  百度快照"
46,日喝半瓶洗洁精“神图”蹿红 可事实真相却是…,2014年07月29日,http://n.cztv.com/news/12186496.html,西安日报,"怀疑天然气泄漏咋检查可用洗洁精水来试验分享到: 本报讯(记者 杨春燕)连日的高温让整座城市变成了一个火炉,高温天使用天然气时更要多加注意。7月26日晚上,胡...  查看更多相关新闻>>  -  百度快照"
47,餐厅用“脉动”装洗洁精 两岁男童当饮料误食(组图),2013年09月17日,http://news.163.com/14/0318/05/9NJJ59V600014AED.html,中国教育装备采购网,"摘要目的建立测定洗洁精中甲醛的含量的气相色谱方法,评价洗洁精中甲醛的含量。方法气相色谱法,色谱柱:OV-1,6201白色担体,1000mm×40mm不锈钢柱,氢  百度快照"
48,洗洁精你用对了吗?,2016年08月18日,http://news.163.com/14/0311/00/9N110TEI00014AED.html,新浪新闻,"原标题:重庆男子喝洗洁精当饭每日半瓶喝了4年[衰]家住重庆市九龙坡区31岁的张玥,从2012年开始发现自己爱喝洗洁精,最近两年每天都要喝半瓶,一喝就是4年。...  百度快照"
49,质检总局发出公告解决餐具洗涤剂产品新老包装过渡难题,2016年06月15日,http://www.cqn.com.cn/news/zggmsb/dier/926199.html,网易,"这个洗洁精制假窝点隐藏在开福区浏阳河街道果林分场附近的一处加油站后面。据开福区食安办负责人介绍,经前期暗访、调查后,执法人员对窝点展开突击检查,当场销毁...  查看更多相关新闻>>  -  百度快照"
50,南昌多家餐馆用“三无”洗洁精洗碗筷 吃了有损健康,2015年02月15日,http://jx.ifeng.com/a/20160411/4445657_0.shtml,99健康网,"一女子,带丈夫和儿子去江汉路一家快餐连锁店吃饭,后发现汤里面有洗洁精,接着女子开始呕吐,最后去医院检查。  百度快照"
51,妻子吞洗洁精 洗洁精毒性高不高,2016年08月18日,http://news.99.com.cn/minsheng/20160928/654240.htm,中国青年网,"31岁男子患怪病喝洗洁精 长达四年每日半瓶(图)发稿时间:2016-08-18 18:05:00 来源: 新华网 中国青年网 张玥告诉记者,之前也去了很多家大小医院检查身体,...  百度快照"
52,天然气泄漏?洗洁精搞鬼!(组图),2013年07月17日,http://news.163.com/13/0816/10/96D2N14S00014Q4P.html,凤凰网,"经查:当事人于2013年1月和4月,分别以供货商托运发货的方式从四川低价购进“文日”洗衣粉和洗洁精、“Tide洁太渍”洗衣粉进行销售。据罗某交代:为了做到以假乱...  百度快照"
53,公交车地板残留洗洁精 女子上车不慎滑倒进医院,2014年05月21日,http://society.people.com.cn/n/2014/1117/c136657-26038666.html,中国质量新闻网,符合本次监督检查要求  餐具洗涤剂(王牌洗洁精) 450g/包 2013-6-21 温州市瓯海梅屿合成洗涤剂厂 2014年1季度 符合本次监督检查要求  餐具洗涤剂(芳之华洗洁精...  百度快照
54,"有毒的洗洁精,能用?变味的臭豆腐,能吃?",2016年01月14日,http://news.qq.com/a/20130408/001725.htm,中国质量新闻网,"3日,四川省质量技术监督局在其官网公布2015年3季度餐具洗涤剂产品质量省级监督抽查结果,都江堰市好媳妇洗洁剂厂的2批次洗洁精被检出总活性物含量、去污力...  百度快照"
55,三龄童超市误喝洗洁精,2016年08月18日,http://news.ifeng.com/a/20140922/42049682_0.shtml,中国江苏网,"这组实验和第一组实验唯一不同的地方是,第三步用洗洁精洗碗后,在流水中将碗冲洗满1分半钟。 结果,用分光光度计分别检测出洗洁精残留,如表2。 “单从数值上...  百度快照"
56,劣质假牙两颗售价六千 用开水消毒用洗洁精抛光,2016年08月19日,http://news.cnfol.com/xiaofei/20140528/17983541.shtml,中国广播网,"男子患怪病喝洗洁精 每日半瓶已长达四年,近日,记者了解到,在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。近日,...  查看更多相关新闻>>  -  百度快照"
57,洗洁精错误使用会带来伤害,2016年09月28日,http://finance.sina.com.cn/nongye/nygd/20140404/145918715836.shtml,华龙网,"(记者 任国勇 通讯员 陆公轩) 26日凌晨0点,六合公安分局机场派出所接到一女子报警称,她的儿媳妇小杨因琐事与儿子小陈发生争吵,随后喝了洗洁精就离家出走了,希望...  百度快照"
58,在农居点囤危化品炮制“三无”洗洁精,2015年11月30日,http://hzdaily.hangzhou.com.cn/mrsb/html/2013-03/21/content_1459183.htm,中国质量新闻网,餐具洗涤剂 1.5kg/瓶 2015-10-12 浙江汉莎洗涤用品有限公司 2015年4季度 符合本次监督检查要求 无 2 餐具洗涤剂 3.785L/瓶 2015-07-29 诸暨神鹰康星化...  百度快照
59,西安一民房存大量洗洁精 执法人员:涉嫌非法加工,2016年08月19日,http://news.cnwest.com/content/2013-04/25/content_9063786.htm,新浪四川站,"重庆男子患怪病喝洗洁精 每日半瓶已四年,2016年8月17日。近日,在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。这...  查看更多相关新闻>>  -  百度快照"
60,六安市质监局捣毁一处非法生产洗洁精窝点,2017年09月09日,http://www.cqn.com.cn/news/zjpd/dfdt/973016.html,中国质量新闻网,"厅《关于开展餐具洗涤剂产品专项整治工作方案的通知》的要求,通辽市质监局成立专案组,会同相关部门对全市餐具洗涤剂产品生产、加工、销售、使用情况进行了专项检查。...  百度快照"
61,"有只兔子:为了家人健康,请拒绝使用洗洁精",2017年09月04日,http://news.163.com/17/0513/00/CK9C13GO00018AOP.html,中国青年报,"优客测测15款洗洁精测评,总有几款健康优品放心用:洗洁精一直让“厨房大管家”左右为难,用少了怕洗不干净,用多了又担心残留在碗碟上。优恪旗下优客测测选择了...  百度快照"
62,洗涤剂导致皮肤缺水 主妇手横生“倒刺”,2017年09月05日,http://hebei.ifeng.com/detail_2014_06/10/2405629_0.shtml,新浪上海站,"昨天(4日)上午10点多,浦东江心沙路410号上海意达洗涤剂公司发生火灾,所幸未造成...上海医生吃泻药给自己做肠镜 呼吁:不要忽视肠镜检查 上港队长喜得千金成新晋奶...  百度快照"
63,龙门沙迳抓获一卖假洗洁精男子,2017年08月09日,http://e.hznews.com/paper/hzrb/20120708/A1/13/,湖南省人民政府,"前,张家界市质监局永定分局开展了餐具洗涤剂专项整治行动。  此次整治行动,重点针对违法生产、使用无生产许可证洗洁精的行为。共检查无证生产小作坊2家,经营性使用...  百度快照"
64,铜川:警方捣毁香油黑作坊 店面流水账高达百万 - 新闻频道 - 西部...,2016年12月28日,http://news.cnwest.com/content/2013-07/23/content_9771304.htm,奥一网,南都讯 记者岑龙基  环保检查一瓶洗洁精(不合格)罚3万元、电饭锅罚一万多元、没后门也要罚一万元?佛山顺德容桂部分商家听信了这种传言后不敢开门营业。容桂街道...  百度快照
65,徐闻一地下洗洁精黑窝点被端,2016年12月28日,http://news.gdzjdaily.com.cn/zjxw/content/2012-08/09/content_1525103.htm,南方网,"下午2时,容桂街道办发布通报称,近日微博、微信上流传“环保检查一瓶洗洁精罚3万元、电饭锅罚万几元、没后门罚一万元、政府对所有餐饮娱乐服务行业开展大规模...  查看更多相关新闻>>  -  百度快照"
66,无证生产洗洁精 两黑窝点被端,2016年08月25日,http://law.southcn.com/c/2017-06/09/content_172303291.htm,网易,"台海网8月25日讯(海峡导报记者 香卉辉 通讯员 杜宁)最近,厦门市市场监督管理局对厦门自贸片区内线下销售的部分商品进行抽查,发现共两批次的进口纸巾和洗洁精菌落...  查看更多相关新闻>>  -  百度快照"
67,洗衣粉和盐加进配料 小作坊洗洁精竟混进大饭店,2015年04月08日,http://news.ifeng.com/gundong/detail_2013_04/02/23784067_0.shtml,网易,"重庆晨报永川读本讯 记者 张梁 邓鑫 怀疑家里燃气泄漏,却不知该怎么检测。其实,只需要一杯清水,还有一点洗洁精,就能解决这个问题。近日,文曲路社区联合重庆永川...  查看更多相关新闻>>  -  百度快照"
68,广东徐闻县捣毁一无证生产加工洗洁精窝点,2016年08月19日,http://www.cqn.com.cn/news/zjpd/dfdt/607224.html,鲁中网,"摘要: 在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。 近日,记者了解到,在重庆市九龙坡区劳动一村家属区内有一位...  百度快照"
69,小作坊产涉嫌侵权洗涤剂 销往潮福城等门店,2016年08月19日,http://fj.qq.com/a/20130605/008415.htm,中国小康网,"7日,网上出现了一组男子喝洗洁精的图片,引起强烈反响。该男子叫张玥,家住重庆市九龙坡区劳动一村家属区,每天都要喝洗洁精半瓶,并且一喝就是4年,但去医院...  百度快照"
70,成都“黑心商家”洗洁精泡豌豆 干豆豆“变”绿豆豆,2014年06月21日,http://news.hexun.com/2011-11-16/135275718.html,新浪新闻,"华商报讯(记者马虎振)根据西安市质监局加强对商业场所洗洁精进行质量监督检查的要求,质监新城分局会同市质检院,对新城区内规模较大的17家酒店所用的洗洁精进行了...  查看更多相关新闻>>  -  百度快照"
71,洗洁精6毛与2元有啥区别,2016年12月29日,http://news.163.com/10/0526/07/67JGCLV300014AED.html,新华网,"食肆洗洁精不合格罚3万元?谣言!---昨日,容桂街道办及区环运局在第一时间发文辟谣,纷纷指出这些网络谣言不属实。甚至,还有流言称顺德大良、容桂过千人执法整治...  查看更多相关新闻>>  -  百度快照"
72,山西省开查餐具洗涤剂,2016年09月19日,http://news.163.com/10/0622/08/69P63OT200014AEE.html,中国质量新闻网,"为保障消费者合法权益,进一步提升产品质量安全,质量月期间,北京市大兴区质监局开展了餐具洗涤剂专项监督检查。 执法人员认真核对企业相关资质,要求企业严格按照获证...  百度快照"
73,湟中县查获一非法加工洗洁精窝点”,2016年11月04日,http://www.qhbtv.com/bwyc/xt/2017-06-18/722771.html,和讯科技,"检测结果显示,用清水浸泡30分钟的洗菜方式去除农药残留效果最好;其次是用果蔬洗洁精浸泡清洗。用清水、盐水、碱水、淘米水浸泡15分钟,去除农残效果并不明显。 专家告...  查看更多相关新闻>>  -  百度快照"
74,兰州查获近年食品领域最大“黑窝点”案 洗发水增稠,2015年12月01日,http://gansu.gansudaily.com.cn/system/2011/07/08/012066367.shtml,乐视视频,苏州:检查发现“罕见”洗洁精 竟是无证无照“问题产品”播放数:评论数: 类型:社会新闻 发布时间:2015-12-01 10:43:17 详细介绍: 苏州:检查发现“罕见”洗洁...  百度快照
75,一些商贩用洗洁精洗桃市民购买需谨慎,2016年01月13日,http://tangshan.huanbohainews.com.cn/system/2011/08/04/010999614.shtml,新蓝网,"市面上的多数洗洁精都号称“无残留”、“不伤手”,最近某消费杂志向第三方权威检测机构送检了9款不同品牌的洗洁精,结果显示蓝月亮、立白等一些消费者耳熟能详的...  百度快照"
76,洗洁精洗一洗泡一泡 干豆豆“变身”绿豆豆(组图),2014年07月09日,http://news.163.com/11/1116/07/7IVF3QQH00014AED.html,国家质检总局,"从2015年1月1日起,各省(区、市)质量技术监督部门按照《办法》规定,对餐具洗涤剂获证企业包装情况开展检查,对仍不符合《办法》要求的生产企业进行查处,促进行业健康...  查看更多相关新闻>>  -  百度快照"
